TableName,ColumnName,ColumnType,DataType
IdentityInfo,Timestamp,datetime,System.DateTime
IdentityInfo,ReportId,string,System.String
IdentityInfo,IdentityId,string,System.String
IdentityInfo,AccountObjectId,string,System.String
IdentityInfo,AccountUpn,string,System.String
IdentityInfo,OnPremSid,string,System.String
IdentityInfo,OnPremObjectId,string,System.String
IdentityInfo,AccountDisplayName,string,System.String
IdentityInfo,AccountName,string,System.String
IdentityInfo,AccountDomain,string,System.String
IdentityInfo,CriticalityLevel,int,System.Int32
IdentityInfo,Type,string,System.String
IdentityInfo,DistinguishedName,string,System.String
IdentityInfo,CloudSid,string,System.String
IdentityInfo,GivenName,string,System.String
IdentityInfo,Surname,string,System.String
IdentityInfo,Department,string,System.String
IdentityInfo,JobTitle,string,System.String
IdentityInfo,EmailAddress,string,System.String
IdentityInfo,SipProxyAddress,string,System.String
IdentityInfo,Address,string,System.String
IdentityInfo,City,string,System.String
IdentityInfo,Country,string,System.String
IdentityInfo,IsAccountEnabled,bool,System.SByte
IdentityInfo,Manager,string,System.String
IdentityInfo,Phone,string,System.String
IdentityInfo,CreatedDateTime,datetime,System.DateTime
IdentityInfo,SourceProvider,string,System.String
IdentityInfo,ChangeSource,string,System.String
IdentityInfo,BlastRadius,string,System.String
IdentityInfo,CompanyName,string,System.String
IdentityInfo,DeletedDateTime,datetime,System.DateTime
IdentityInfo,EmployeeId,string,System.String
IdentityInfo,OtherMailAddresses,dynamic,System.Object
IdentityInfo,RiskLevel,string,System.String
IdentityInfo,RiskLevelDetails,string,System.String
IdentityInfo,State,string,System.String
IdentityInfo,Tags,dynamic,System.Object
IdentityInfo,UserAccountControl,dynamic,System.Object
IdentityInfo,SourceProviders,dynamic,System.Object
IdentityInfo,IdentityEnvironment,string,System.String
IdentityInfo,PrivilegedEntraPimRoles,dynamic,System.Object
IdentityInfo,AssignedRoles,dynamic,System.Object
IdentityInfo,GroupMembership,dynamic,System.Object
IdentityInfo,RiskScore,int,System.Int32
IdentityInfo,RiskScoreUpdateTime,datetime,System.DateTime
