TableName,ColumnName,ColumnType,DataType
EntraIdSignInEvents,Timestamp,datetime,System.DateTime
EntraIdSignInEvents,Application,string,System.String
EntraIdSignInEvents,ApplicationId,string,System.String
EntraIdSignInEvents,LogonType,string,System.String
EntraIdSignInEvents,EndpointCall,string,System.String
EntraIdSignInEvents,ErrorCode,int,System.Int32
EntraIdSignInEvents,CorrelationId,string,System.String
EntraIdSignInEvents,SessionId,string,System.String
EntraIdSignInEvents,AccountDisplayName,string,System.String
EntraIdSignInEvents,AccountObjectId,string,System.String
EntraIdSignInEvents,AccountUpn,string,System.String
EntraIdSignInEvents,IsExternalUser,int,System.Int32
EntraIdSignInEvents,IsGuestUser,bool,System.SByte
EntraIdSignInEvents,AlternateSignInName,string,System.String
EntraIdSignInEvents,LastPasswordChangeTimestamp,datetime,System.DateTime
EntraIdSignInEvents,ResourceDisplayName,string,System.String
EntraIdSignInEvents,ResourceId,string,System.String
EntraIdSignInEvents,ResourceTenantId,string,System.String
EntraIdSignInEvents,DeviceName,string,System.String
EntraIdSignInEvents,OSPlatform,string,System.String
EntraIdSignInEvents,DeviceTrustType,string,System.String
EntraIdSignInEvents,IsManaged,int,System.Int32
EntraIdSignInEvents,IsCompliant,int,System.Int32
EntraIdSignInEvents,AuthenticationProcessingDetails,string,System.String
EntraIdSignInEvents,AuthenticationRequirement,string,System.String
EntraIdSignInEvents,TokenIssuerType,string,System.String
EntraIdSignInEvents,RiskLevelAggregated,int,System.Int32
EntraIdSignInEvents,RiskLevelDuringSignIn,int,System.Int32
EntraIdSignInEvents,RiskEventTypes,string,System.String
EntraIdSignInEvents,RiskState,int,System.Int32
EntraIdSignInEvents,UserAgent,string,System.String
EntraIdSignInEvents,ClientAppUsed,string,System.String
EntraIdSignInEvents,Browser,string,System.String
EntraIdSignInEvents,ConditionalAccessPolicies,string,System.String
EntraIdSignInEvents,ConditionalAccessStatus,int,System.Int32
EntraIdSignInEvents,IPAddress,string,System.String
EntraIdSignInEvents,Country,string,System.String
EntraIdSignInEvents,State,string,System.String
EntraIdSignInEvents,City,string,System.String
EntraIdSignInEvents,Latitude,string,System.String
EntraIdSignInEvents,Longitude,string,System.String
EntraIdSignInEvents,NetworkLocationDetails,string,System.String
EntraIdSignInEvents,RequestId,string,System.String
EntraIdSignInEvents,ReportId,string,System.String
EntraIdSignInEvents,EntraIdDeviceId,string,System.String
EntraIdSignInEvents,GatewayJA4,string,System.String
EntraIdSignInEvents,UniqueTokenId,string,System.String
EntraIdSignInEvents,IsSignInThroughGlobalSecureAccess,bool,System.SByte
EntraIdSpnSignInEvents,Timestamp,datetime,System.DateTime
EntraIdSpnSignInEvents,Application,string,System.String
EntraIdSpnSignInEvents,ApplicationId,string,System.String
EntraIdSpnSignInEvents,IsManagedIdentity,bool,System.SByte
EntraIdSpnSignInEvents,ErrorCode,int,System.Int32
EntraIdSpnSignInEvents,CorrelationId,string,System.String
EntraIdSpnSignInEvents,ServicePrincipalName,string,System.String
EntraIdSpnSignInEvents,ServicePrincipalId,string,System.String
EntraIdSpnSignInEvents,ResourceDisplayName,string,System.String
EntraIdSpnSignInEvents,ResourceId,string,System.String
EntraIdSpnSignInEvents,ResourceTenantId,string,System.String
EntraIdSpnSignInEvents,IPAddress,string,System.String
EntraIdSpnSignInEvents,Country,string,System.String
EntraIdSpnSignInEvents,State,string,System.String
EntraIdSpnSignInEvents,City,string,System.String
EntraIdSpnSignInEvents,Latitude,string,System.String
EntraIdSpnSignInEvents,Longitude,string,System.String
EntraIdSpnSignInEvents,RequestId,string,System.String
EntraIdSpnSignInEvents,ReportId,string,System.String
EntraIdSpnSignInEvents,IsConfidentialClient,bool,System.SByte
EntraIdSpnSignInEvents,GatewayJA4,string,System.String
EntraIdSpnSignInEvents,SessionId,string,System.String
EntraIdSpnSignInEvents,UserAgent,string,System.String
EntraIdSpnSignInEvents,UniqueTokenId,string,System.String
GraphAPIAuditEvents,IdentityProvider,string,System.String
GraphAPIAuditEvents,ApiVersion,string,System.String
GraphAPIAuditEvents,ApplicationId,string,System.String
GraphAPIAuditEvents,ClientRequestId,string,System.String
GraphAPIAuditEvents,OperationId,string,System.String
GraphAPIAuditEvents,AccountObjectId,string,System.String
GraphAPIAuditEvents,Location,string,System.String
GraphAPIAuditEvents,RequestDuration,string,System.String
GraphAPIAuditEvents,RequestMethod,string,System.String
GraphAPIAuditEvents,Timestamp,datetime,System.DateTime
GraphAPIAuditEvents,ResponseStatusCode,string,System.String
GraphAPIAuditEvents,Scopes,string,System.String
GraphAPIAuditEvents,EntityType,string,System.String
GraphAPIAuditEvents,ReportId,string,System.String
GraphAPIAuditEvents,RequestUri,string,System.String
GraphAPIAuditEvents,UniqueTokenIdentifier,string,System.String
GraphAPIAuditEvents,RequestId,string,System.String
GraphAPIAuditEvents,IpAddress,string,System.String
GraphAPIAuditEvents,ServicePrincipalId,string,System.String
GraphAPIAuditEvents,TargetWorkload,string,System.String
GraphAPIAuditEvents,ResponseSize,long,System.Int64
IdentityAccountInfo,Timestamp,datetime,System.DateTime
IdentityAccountInfo,ReportId,string,System.String
IdentityAccountInfo,SourceProviderAccountId,string,System.String
IdentityAccountInfo,AccountId,string,System.String
IdentityAccountInfo,IdentityId,string,System.String
IdentityAccountInfo,IsPrimary,bool,System.SByte
IdentityAccountInfo,IdentityLinkType,string,System.String
IdentityAccountInfo,IdentityLinkReason,string,System.String
IdentityAccountInfo,IdentityLinkTime,datetime,System.DateTime
IdentityAccountInfo,IdentityLinkBy,string,System.String
IdentityAccountInfo,DisplayName,string,System.String
IdentityAccountInfo,AccountUpn,string,System.String
IdentityAccountInfo,EmailAddress,string,System.String
IdentityAccountInfo,CriticalityLevel,int,System.Int32
IdentityAccountInfo,Type,string,System.String
IdentityAccountInfo,GivenName,string,System.String
IdentityAccountInfo,Surname,string,System.String
IdentityAccountInfo,EmployeeId,string,System.String
IdentityAccountInfo,Department,string,System.String
IdentityAccountInfo,JobTitle,string,System.String
IdentityAccountInfo,Address,string,System.String
IdentityAccountInfo,City,string,System.String
IdentityAccountInfo,Country,string,System.String
IdentityAccountInfo,Phone,string,System.String
IdentityAccountInfo,Manager,string,System.String
IdentityAccountInfo,Sid,string,System.String
IdentityAccountInfo,AccountStatus,string,System.String
IdentityAccountInfo,SourceProvider,string,System.String
IdentityAccountInfo,SourceProviderInstanceId,string,System.String
IdentityAccountInfo,SourceProviderInstanceDisplayName,string,System.String
