TableName,ColumnName,ColumnType,DataType
AADSignInEventsBeta,Timestamp,datetime,System.DateTime
AADSignInEventsBeta,Application,string,System.String
AADSignInEventsBeta,ApplicationId,string,System.String
AADSignInEventsBeta,LogonType,string,System.String
AADSignInEventsBeta,EndpointCall,string,System.String
AADSignInEventsBeta,ErrorCode,int,System.Int32
AADSignInEventsBeta,CorrelationId,string,System.String
AADSignInEventsBeta,SessionId,string,System.String
AADSignInEventsBeta,AccountDisplayName,string,System.String
AADSignInEventsBeta,AccountObjectId,string,System.String
AADSignInEventsBeta,AccountUpn,string,System.String
AADSignInEventsBeta,IsExternalUser,int,System.Int32
AADSignInEventsBeta,IsGuestUser,bool,System.SByte
AADSignInEventsBeta,AlternateSignInName,string,System.String
AADSignInEventsBeta,LastPasswordChangeTimestamp,datetime,System.DateTime
AADSignInEventsBeta,ResourceDisplayName,string,System.String
AADSignInEventsBeta,ResourceId,string,System.String
AADSignInEventsBeta,ResourceTenantId,string,System.String
AADSignInEventsBeta,DeviceName,string,System.String
AADSignInEventsBeta,AadDeviceId,string,System.String
AADSignInEventsBeta,OSPlatform,string,System.String
AADSignInEventsBeta,DeviceTrustType,string,System.String
AADSignInEventsBeta,IsManaged,int,System.Int32
AADSignInEventsBeta,IsCompliant,int,System.Int32
AADSignInEventsBeta,AuthenticationProcessingDetails,string,System.String
AADSignInEventsBeta,AuthenticationRequirement,string,System.String
AADSignInEventsBeta,TokenIssuerType,string,System.String
AADSignInEventsBeta,RiskLevelAggregated,int,System.Int32
AADSignInEventsBeta,RiskLevelDuringSignIn,int,System.Int32
AADSignInEventsBeta,RiskEventTypes,string,System.String
AADSignInEventsBeta,RiskState,int,System.Int32
AADSignInEventsBeta,UserAgent,string,System.String
AADSignInEventsBeta,ClientAppUsed,string,System.String
AADSignInEventsBeta,Browser,string,System.String
AADSignInEventsBeta,ConditionalAccessPolicies,string,System.String
AADSignInEventsBeta,ConditionalAccessStatus,int,System.Int32
AADSignInEventsBeta,IPAddress,string,System.String
AADSignInEventsBeta,Country,string,System.String
AADSignInEventsBeta,State,string,System.String
AADSignInEventsBeta,City,string,System.String
AADSignInEventsBeta,Latitude,string,System.String
AADSignInEventsBeta,Longitude,string,System.String
AADSignInEventsBeta,NetworkLocationDetails,string,System.String
AADSignInEventsBeta,RequestId,string,System.String
AADSignInEventsBeta,ReportId,string,System.String
AADSignInEventsBeta,EntraIdDeviceId,string,System.String
